Age,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
59,35,10.92,1,3.8,1,0,0,0,0,1,1
62,36,8.75,2,2.8,1,336,0,0,0,0,0
53,23,3.75,4,2.0,3,132,0,1,0,0,0
47,21,5.0,3,2.1,1,0,0,0,0,1,1
53,29,1.67,4,0.2,1,0,0,0,0,1,0
42,18,9.58,1,3.5,1,0,0,0,0,0,1
53,29,5.75,4,1.0,2,0,0,0,0,1,0
44,20,10.83,1,5.0,1,0,0,0,0,0,1
41,16,7.08,1,4.0,3,0,0,0,0,1,1
28,3,11.25,2,3.3,1,0,0,0,0,0,1
31,7,11.25,4,3.8,2,0,1,0,1,1,1
58,32,1.0,3,0.3,3,0,0,0,0,0,0
46,20,2.42,3,0.5,2,0,0,0,0,0,0
54,30,11.08,2,2.6,3,0,1,0,0,0,0
50,26,1.58,2,0.4,1,118,0,0,0,1,0
60,36,3.42,4,1.3,1,174,0,0,0,1,1
47,22,3.33,3,2.7,2,0,0,0,0,1,0
41,16,6.83,1,4.0,3,0,0,0,0,1,0
33,9,4.17,1,2.4,2,0,0,0,0,0,0
46,22,1.5,1,0.9,3,0,0,0,0,1,0
27,2,9.08,4,1.8,3,0,0,0,0,0,0
40,16,3.5,4,2.2,2,126,0,0,0,0,0
48,22,6.5,3,1.1,1,0,0,0,0,1,0
65,41,4.25,2,1.1,1,0,0,0,0,1,0
25,1,9.42,4,2.3,3,0,0,0,0,0,1
55,30,9.83,4,5.6,2,0,1,0,0,1,0
35,10,2.42,4,1.1,3,0,0,0,0,1,0
43,19,2.83,3,0.6,2,0,0,0,0,0,0
60,34,5.33,2,1.7,3,236,0,1,0,1,0
65,39,10.08,1,2.0,1,0,0,0,0,0,0
38,12,4.0,4,0.2,3,0,0,0,0,1,0
41,15,6.67,1,5.2,1,0,0,0,0,0,0
54,28,13.42,1,2.9,1,0,0,0,0,1,0
49,23,7.83,1,0.3,1,0,0,0,0,1,0
66,41,1.25,3,0.1,3,0,0,0,0,1,0
48,23,6.17,1,1.2,1,0,0,0,0,1,0
61,36,2.5,3,1.3,2,0,0,0,0,0,0
53,23,3.67,3,1.0,3,198,0,0,0,1,1
43,18,1.83,2,0.3,2,0,0,0,0,1,0
56,32,3.17,4,1.3,1,166,0,0,0,1,1
24,0,2.92,3,0.1,2,0,0,1,0,1,0
43,17,5.75,4,2.9,1,0,0,0,0,1,1
42,18,3.58,1,0.7,1,136,0,0,0,0,0
33,7,2.67,1,0.6,3,166,0,0,0,1,0
43,17,4.08,1,2.8,1,0,0,0,0,1,0
41,14,0.75,3,1.0,2,0,0,0,0,0,0
62,38,3.75,4,1.3,2,0,0,0,0,1,0
40,15,6.83,3,1.0,1,309,0,0,0,0,0
58,34,7.67,2,2.8,1,103,0,0,0,0,0
39,14,3.25,3,0.5,3,0,0,0,0,1,0
65,40,6.75,3,1.8,2,0,0,0,0,1,0
54,29,2.92,1,1.5,2,0,0,0,0,1,0
58,33,5.08,2,2.3,3,193,0,0,0,1,0
41,16,6.08,3,3.0,1,0,0,0,0,1,0
32,7,9.33,1,4.6,1,366,0,0,0,0,0
54,29,1.0,2,0.2,3,0,0,0,0,1,0
52,26,3.17,3,0.9,3,0,0,0,0,1,0
58,32,6.08,2,0.7,2,0,0,0,0,1,1
37,13,7.0,1,3.6,2,0,0,1,0,0,0
39,15,6.5,4,2.4,1,118,0,0,0,1,0
60,35,6.67,3,0.5,1,0,0,0,0,1,0
31,5,9.58,2,1.3,1,101,0,0,0,1,1
34,8,6.83,1,2.7,2,251,0,0,0,1,0
38,14,6.17,2,0.0,1,0,0,1,0,1,0
41,16,5.83,3,0.5,3,0,0,0,0,0,1
28,4,6.75,3,1.5,1,276,0,0,0,1,0
58,34,12.42,4,7.2,2,0,1,0,1,1,1
31,1,4.25,2,1.75,3,0,0,0,0,0,0
30,4,3.25,3,1.1,2,0,0,0,0,1,0
53,29,8.17,3,1.8,2,0,0,0,0,0,0
58,33,3.75,4,2.1,1,0,0,0,0,1,1
59,32,4.08,4,2.5,2,0,0,0,0,1,0
49,25,10.67,2,0.4,1,0,0,0,0,0,0
59,34,3.5,3,1.5,1,0,0,1,1,0,1
59,35,1.5,1,1.2,3,0,0,0,0,1,0
51,25,2.58,2,0.4,3,161,0,0,0,1,1
35,11,4.83,3,2.0,1,149,0,0,0,1,1
33,9,4.0,1,2.1,3,0,0,0,0,0,1
25,1,4.5,4,1.6,1,0,0,0,0,1,1
49,23,5.83,2,1.5,2,0,0,0,0,0,0
59,35,10.33,1,7.4,1,0,0,0,0,0,1
46,19,7.0,1,2.67,2,0,0,0,0,1,1
50,25,6.92,4,3.6,3,188,0,0,0,1,0
52,28,13.58,2,0.4,1,116,0,0,0,1,0
48,22,3.5,3,2.2,2,0,0,0,0,0,0
46,22,9.83,2,7.5,1,0,0,0,1,1,1
26,0,11.0,3,6.5,3,0,1,0,0,0,1
57,32,2.0,1,1.3,1,0,0,0,0,1,1
60,36,1.83,2,1.0,1,0,0,1,1,1,1
54,29,4.83,4,1.3,3,0,0,0,0,0,0
24,0,5.0,4,1.6,1,0,0,0,0,1,0
26,0,1.25,4,0.4,1,0,0,0,0,0,1
41,17,6.92,4,2.67,1,0,0,0,0,1,1
32,6,6.58,2,1.5,3,0,0,0,0,1,1
61,35,3.42,4,1.7,2,0,0,1,0,1,0
29,0,11.17,4,6.5,3,0,1,0,0,0,0
61,35,6.67,2,2.8,1,0,0,0,0,1,0
38,12,4.33,1,2.0,1,0,0,0,0,0,0
28,4,5.83,4,2.6,1,0,0,0,0,1,0
53,27,7.67,2,1.1,1,0,0,1,0,0,0
27,1,3.58,1,1.5,1,0,0,0,0,1,0
25,1,1.75,3,1.0,2,0,0,0,0,0,0
33,9,1.92,3,0.9,3,0,0,0,0,1,1
50,26,1.08,4,1.0,1,0,0,0,0,1,0
27,1,9.33,4,2.1,3,0,0,0,0,0,1
27,1,11.5,2,2.0,1,0,0,0,0,1,0
52,28,0.92,3,0.4,1,0,0,1,0,0,0
38,13,14.25,2,7.8,1,0,0,0,0,1,0
58,34,3.5,4,1.5,1,0,0,0,0,1,1
42,17,14.0,2,7.9,2,0,1,0,0,1,0
45,20,7.08,4,1.1,2,0,0,1,0,1,0
52,25,3.67,3,1.0,2,135,0,0,0,1,0
29,3,5.42,4,1.8,2,244,0,0,0,0,0
53,29,2.0,4,0.2,1,0,0,0,0,1,1
62,37,0.92,1,0.1,1,0,0,0,0,1,0
51,27,3.17,2,1.0,3,164,0,0,0,1,0
36,12,0.83,4,0.7,2,81,0,0,0,0,0
24,0,11.25,1,1.5,1,0,0,0,0,1,0
29,3,12.33,3,4.1,1,0,1,0,0,1,0
52,26,5.25,2,1.5,2,0,0,1,0,1,0
39,14,9.58,1,1.0,3,0,0,0,0,1,0
48,23,3.75,1,0.3,1,0,0,0,0,1,1
46,21,13.25,3,1.9,3,315,1,0,0,1,0
64,40,14.08,2,2.1,1,122,0,0,0,1,0
55,29,9.33,2,1.4,1,0,0,0,0,1,0
60,36,7.75,1,4.3,1,0,0,0,0,1,0
51,25,2.42,1,0.3,3,140,0,0,0,0,0
50,23,7.08,1,2.67,2,0,0,0,0,1,0
48,24,1.75,4,0.6,1,0,0,0,0,1,1
53,29,12.0,2,6.8,1,0,0,0,0,1,0
34,10,1.08,4,1.0,1,95,0,1,0,1,0
48,24,13.75,1,5.0,1,0,0,0,0,0,1
55,31,0.75,4,0.7,1,89,0,0,0,1,0
27,3,4.92,4,0.0,1,90,0,1,0,1,0
36,11,13.17,1,5.1,3,0,1,0,1,1,1
32,6,2.42,1,1.9,3,0,0,0,0,1,1
35,9,1.67,2,1.4,3,0,0,0,0,1,1
30,3,5.67,4,2.0,2,0,0,0,0,1,0
58,34,5.42,4,2.2,1,0,0,0,0,1,0
56,31,5.08,2,1.9,2,105,0,0,0,0,0
38,12,7.58,4,1.4,2,100,0,0,0,0,1
49,25,2.58,1,1.0,1,0,0,1,0,1,0
34,10,5.92,4,0.1,2,0,0,0,0,0,0
40,16,6.08,4,2.67,1,0,0,0,0,1,1
64,39,14.33,4,3.1,1,282,1,0,1,1,1
51,26,1.67,2,0.0,1,0,0,0,0,0,0
44,18,4.58,1,0.2,1,0,0,0,0,0,0
46,22,5.75,2,1.7,1,209,0,0,0,0,0
57,33,12.92,1,7.4,1,0,0,0,0,1,0
54,28,7.83,1,1.9,2,0,0,0,0,0,0
38,14,7.67,2,0.0,1,249,0,0,0,1,1
27,3,10.42,2,0.6,1,0,0,0,0,0,0
39,14,6.17,3,3.0,1,0,0,0,0,0,0
44,20,6.0,3,0.3,3,0,0,0,0,1,0
56,30,5.08,1,2.2,3,0,0,0,0,1,1
32,6,2.08,2,0.3,1,0,0,0,0,0,1
45,19,6.92,2,1.7,2,0,0,0,0,1,0
26,2,8.67,3,2.5,1,0,0,0,0,0,0
55,25,3.42,3,1.0,3,0,0,0,0,1,0
52,27,4.83,4,1.8,3,91,0,0,0,0,0
39,13,7.75,1,1.5,3,0,0,0,0,0,1
24,1,3.25,2,1.7,2,0,0,0,0,0,0
47,23,12.33,2,7.5,1,0,0,0,1,1,1
47,22,4.42,4,1.9,3,98,0,1,1,0,1
48,24,5.92,2,1.7,1,145,0,0,0,0,1
47,22,7.67,1,2.8,2,0,0,0,0,1,0
35,10,5.08,4,2.1,3,0,0,0,0,1,0
46,19,3.17,3,2.5,2,135,0,0,0,0,0
62,37,4.83,4,1.7,1,0,0,0,0,1,0
26,1,6.67,1,0.8,2,150,0,0,0,0,0
38,8,5.92,4,1.8,3,0,0,0,0,1,0
43,18,7.42,3,0.5,3,0,0,0,0,1,1
62,38,6.92,1,1.8,3,0,0,0,0,1,0
57,32,2.33,3,0.2,1,0,0,0,0,1,1
28,3,4.33,4,1.7,2,0,0,0,0,0,0
51,26,5.83,1,1.2,1,169,0,0,0,0,0
48,22,5.92,1,1.4,3,0,0,0,0,0,1
41,16,6.25,1,3.7,3,280,0,0,0,0,0
65,39,14.17,3,7.9,3,99,1,0,1,1,0
41,17,6.5,4,0.8,1,78,0,0,0,1,0
35,11,2.08,2,1.0,2,0,0,0,0,0,0
38,14,5.0,2,0.6,3,0,0,0,0,1,1
53,29,10.0,4,2.7,2,111,1,1,1,1,0
55,29,8.25,2,1.4,1,264,0,0,0,1,1
26,1,4.58,3,2.6,3,113,0,0,0,0,1
30,6,2.42,3,1.0,2,117,0,0,0,0,0
54,28,14.17,2,6.2,2,325,1,0,0,1,0
65,40,4.42,3,2.2,1,0,0,0,0,0,1
47,21,11.5,1,0.0,1,0,0,0,0,0,0
65,41,11.17,3,3.9,3,121,1,0,0,1,0
66,40,3.5,2,0.7,3,138,0,0,0,0,1
26,0,8.25,4,2.3,3,0,0,0,0,0,1
66,41,1.5,3,0.5,1,0,0,0,0,0,1
35,9,2.0,4,0.3,1,0,0,0,0,1,0
56,30,4.58,1,1.4,1,77,0,0,0,1,0
51,27,4.83,1,0.0,1,0,0,0,0,0,1
42,16,9.25,2,1.2,3,251,1,0,0,1,0
49,23,2.75,1,0.3,3,0,0,0,1,1,1
27,1,6.17,4,1.8,2,112,0,0,0,1,1
45,19,3.17,2,0.7,1,0,0,0,0,0,0
49,23,1.92,4,0.6,3,98,0,1,0,0,0
63,38,5.08,2,1.5,1,0,0,0,0,1,0
47,22,6.75,1,2.9,1,138,0,0,0,0,0
64,39,10.75,1,2.5,1,0,0,0,0,1,0
43,13,2.75,1,0.75,3,0,0,0,0,0,0
60,36,5.25,4,2.2,1,0,0,0,0,1,0
40,14,5.83,4,1.4,2,0,0,0,0,1,0
29,3,3.75,4,0.2,1,158,0,0,0,1,1
41,16,5.42,3,0.5,3,0,0,0,0,1,0
30,5,6.17,4,2.2,1,0,0,1,0,0,1
49,24,4.17,4,1.8,3,0,0,1,0,0,0
30,5,1.83,4,0.5,3,109,0,0,0,1,0
29,2,2.5,4,1.0,3,0,0,0,0,0,0
50,26,1.75,4,1.0,1,0,0,0,0,1,0
39,14,12.92,2,3.9,1,0,0,0,0,1,0
33,8,5.33,4,2.1,3,164,0,0,0,1,0
57,31,5.42,4,2.6,3,0,0,0,0,0,1
34,9,5.92,4,0.7,3,0,0,0,0,1,0
61,36,3.33,3,0.5,2,0,0,1,0,1,0
44,19,5.75,3,0.5,3,0,0,0,0,1,0
40,13,5.75,3,2.33,2,0,0,0,0,0,0
51,25,3.75,3,0.6,2,131,0,0,0,1,0
37,12,5.17,3,0.7,2,0,0,0,0,0,1
44,19,14.33,2,4.3,3,391,1,1,1,1,0
42,15,2.0,3,1.0,2,0,0,0,0,1,1
51,25,6.67,1,4.9,1,0,0,0,0,0,0
43,16,0.67,3,0.67,2,88,0,0,0,1,0
30,5,3.17,4,0.8,1,129,0,0,0,1,1
45,19,7.75,4,2.6,3,0,0,0,0,0,0
35,9,4.58,1,2.0,1,0,0,0,0,1,0
60,34,5.33,2,1.7,3,0,0,0,0,0,1
34,9,10.17,1,0.0,1,0,0,0,0,1,0
55,25,5.83,3,1.4,3,0,0,0,0,1,0
43,19,6.75,2,3.2,1,0,0,0,0,0,0
41,15,13.25,1,5.5,3,0,1,0,1,1,0
34,9,5.83,4,1.3,1,0,0,1,0,0,0
65,39,12.5,2,6.9,1,196,0,0,0,0,0
45,21,12.67,2,7.5,1,0,0,0,0,1,0
49,25,16.25,4,3.0,1,617,1,0,0,0,0
48,23,1.83,1,0.1,1,0,0,0,0,0,0
60,35,1.83,1,1.3,1,123,0,0,0,1,0
55,29,6.58,3,0.8,1,0,0,0,0,1,1
42,18,2.75,1,1.4,3,0,0,0,0,1,0
32,8,10.67,2,4.33,1,0,0,0,1,1,1
62,38,7.58,1,3.8,1,0,0,1,0,1,0
57,32,3.25,4,0.9,1,0,0,0,0,1,1
52,26,10.08,1,7.3,1,167,0,0,0,1,0
36,6,1.75,1,0.67,3,0,0,1,0,1,0
34,9,3.42,3,2.3,1,0,0,0,0,0,1
63,37,3.75,2,0.7,3,0,0,0,0,1,0
24,2,4.25,3,0.3,3,0,0,0,0,1,0
57,31,13.75,1,1.6,2,0,1,0,0,1,0
40,16,9.92,2,4.2,2,0,1,0,0,1,0
27,2,9.17,4,1.8,3,190,0,0,0,1,0
65,39,1.67,3,0.7,2,0,0,0,0,0,1
60,34,5.33,1,0.8,2,248,0,0,0,0,0
44,20,8.42,3,4.4,2,82,1,0,0,0,0
63,39,8.42,1,3.9,1,0,1,1,1,1,0
59,34,8.25,1,4.4,1,0,1,0,0,0,0
56,30,13.17,4,6.1,1,0,1,0,0,0,0
54,28,7.42,1,1.9,2,0,0,0,0,1,1
52,27,6.67,1,1.3,3,0,0,0,1,1,1
58,32,9.5,2,2.0,1,402,0,0,0,1,0
60,35,4.08,3,0.5,2,0,0,0,0,1,1
28,4,15.92,1,6.33,1,0,0,0,0,1,0
54,30,6.5,4,1.0,2,0,0,0,0,1,0
32,6,2.33,3,1.0,1,0,0,0,0,0,0
59,33,3.5,1,0.8,2,0,0,0,0,1,0
63,38,11.67,1,2.5,1,0,0,0,0,0,0
48,23,3.75,1,1.3,2,0,0,0,0,1,0
56,32,10.17,2,0.3,1,360,0,0,1,1,1
36,12,5.42,3,2.6,2,0,0,0,0,1,0
57,27,5.67,1,1.4,3,0,0,0,0,1,0
29,3,12.75,2,2.0,1,392,0,0,0,0,0
39,13,7.42,4,1.4,2,0,0,0,0,0,0
59,34,7.58,1,2.6,1,0,0,0,0,1,1
31,6,4.58,4,2.0,2,185,0,0,0,1,0
43,19,9.83,2,3.3,1,0,0,0,0,0,1
35,5,1.83,1,0.67,3,103,0,0,0,0,0
54,24,5.25,3,1.4,3,138,0,0,0,1,1
51,27,1.0,4,0.5,2,78,0,1,0,1,0
44,19,4.17,3,2.7,2,0,0,0,0,1,0
25,0,3.58,2,1.6,3,0,0,1,1,1,1
40,15,14.42,4,6.6,1,0,1,0,1,1,1
26,2,5.0,2,3.0,1,132,1,0,0,0,0
39,14,9.42,1,1.0,3,0,0,1,0,1,0
28,4,12.92,4,5.3,2,0,1,0,0,1,0
52,28,7.58,4,1.0,2,0,0,0,0,0,1
53,29,4.58,4,1.1,2,0,0,0,0,1,0
44,20,14.42,2,1.4,1,419,0,0,0,1,0
43,19,5.92,3,0.3,3,0,0,0,0,0,1
56,30,2.0,2,0.4,3,88,0,0,0,0,0
38,14,3.5,1,2.0,2,81,0,0,0,1,0
30,6,11.75,2,4.33,1,0,0,0,0,1,0
32,6,2.67,1,1.9,3,0,0,0,0,1,0
35,10,4.58,4,1.3,1,0,0,0,0,0,0
43,19,12.75,2,7.5,1,0,0,0,0,1,0
58,32,9.42,2,1.4,1,270,0,0,0,0,1
25,0,2.5,2,1.7,2,0,0,0,0,0,0
54,24,2.42,3,1.0,3,148,0,0,0,0,1
57,32,14.5,1,6.8,2,466,1,0,0,1,0
50,24,2.92,1,0.3,3,0,0,0,0,1,0
32,8,8.17,2,2.0,2,175,0,0,0,1,0
63,37,2.5,2,1.0,3,159,0,0,0,1,0
31,6,4.83,2,2.5,1,0,0,0,0,0,1
36,12,2.08,4,1.0,1,147,0,0,0,0,0
58,34,1.58,4,0.7,1,0,0,0,0,0,0
56,30,3.67,4,0.7,2,174,0,0,0,1,0
49,25,1.67,4,1.0,1,111,0,0,0,1,1
30,5,8.17,2,3.1,1,220,0,0,0,1,0
33,7,7.5,3,1.6,1,0,0,0,0,1,0
45,21,5.08,3,0.7,1,0,0,0,0,0,0
30,5,3.33,4,2.0,2,0,0,0,0,1,0
47,23,3.17,2,2.1,3,0,0,0,0,0,0
25,0,2.33,2,1.7,2,0,0,0,0,0,0
63,33,2.83,1,1.5,3,0,0,0,0,1,1
55,29,6.08,2,2.3,3,0,0,0,0,1,1
65,41,11.08,4,2.0,1,0,1,0,0,0,1
44,18,4.42,1,0.2,1,0,0,0,0,1,0
51,25,1.75,4,0.6,3,0,0,0,0,1,1
35,9,3.33,3,0.9,1,0,0,0,0,1,0
30,5,3.42,4,1.7,2,0,0,0,0,1,0
31,5,6.83,4,1.8,2,0,0,0,0,1,0
54,30,8.33,4,3.4,3,0,1,0,0,0,0
45,20,12.92,1,7.0,1,0,0,0,0,1,1
45,19,3.75,1,0.2,1,0,0,0,0,1,0
58,32,0.75,3,0.3,3,0,0,0,0,0,1
54,29,4.0,4,1.8,3,0,0,0,0,1,0
53,28,1.5,4,0.1,3,109,0,1,1,1,1
33,9,6.67,4,3.4,1,0,0,0,0,1,1
60,35,5.33,2,2.8,1,0,0,0,0,0,0
50,24,2.42,4,0.1,1,0,0,0,0,0,0
26,2,4.0,3,0.7,2,0,0,0,0,1,0
54,30,1.92,2,0.4,1,0,0,0,0,0,0
28,3,7.0,4,0.2,1,0,0,0,0,1,1
36,10,14.92,3,6.6,1,0,1,0,0,1,0
29,2,2.5,4,1.5,2,112,0,0,0,0,1
54,28,7.75,1,4.9,1,133,0,0,1,1,1
55,30,3.25,2,1.9,2,0,0,0,0,0,0
61,36,5.0,3,0.5,2,182,0,0,0,0,0
36,11,11.08,1,3.8,1,290,0,1,1,1,1
45,19,10.42,1,2.4,1,0,0,0,0,0,0
64,40,4.83,1,1.8,3,0,0,0,0,1,0
60,36,7.42,2,2.8,1,0,0,0,0,1,0
49,22,6.83,1,2.67,2,125,0,0,0,1,0
47,23,9.17,2,3.3,1,0,0,0,0,1,1
60,36,4.5,4,2.3,3,0,0,1,0,0,0
45,20,7.42,4,1.9,3,0,0,0,0,1,0
32,7,3.5,3,2.3,1,0,0,0,0,1,0
52,28,3.42,3,1.9,2,0,0,0,0,0,1
35,8,3.17,4,1.0,2,124,0,0,0,1,0
40,15,7.08,2,0.4,1,0,0,0,0,1,0
53,29,6.92,4,1.0,2,0,0,0,0,1,0
27,0,2.75,4,1.0,3,0,0,0,0,0,0
58,33,4.17,4,2.1,1,0,0,0,0,0,1
47,22,4.83,4,3.6,3,0,0,0,0,1,1
28,3,9.58,4,3.1,2,0,1,0,0,0,0
46,20,12.08,2,6.3,1,0,0,1,1,1,0
43,19,13.42,2,7.5,1,0,0,0,0,0,0
56,30,3.17,1,0.2,1,0,0,0,0,0,0
28,3,2.33,4,0.8,1,0,0,0,0,1,0
42,18,6.25,3,2.33,1,0,0,0,0,0,1
32,7,2.92,3,1.3,1,116,0,0,0,0,1
62,38,2.0,2,1.0,1,116,0,0,0,0,1
37,13,6.5,4,0.1,2,0,0,0,0,1,0
51,26,9.42,1,1.3,3,161,0,0,0,1,0
39,13,6.25,3,2.1,1,224,0,0,0,1,0
43,17,7.58,1,5.7,1,0,0,0,0,1,0
52,28,2.58,4,0.2,1,141,0,0,0,1,1
30,6,3.75,1,1.8,2,0,0,0,0,1,0
52,26,6.67,3,0.8,1,0,0,0,0,0,0
61,35,4.17,3,1.4,3,112,0,0,0,1,0
36,9,2.58,4,1.0,2,0,0,1,0,1,0
58,32,9.42,2,3.8,2,119,1,0,1,1,1
47,23,2.42,4,0.6,1,0,0,0,0,1,0
64,39,4.92,2,1.5,1,139,0,0,0,1,0
52,27,3.58,1,1.3,2,0,0,1,0,1,0
58,28,10.17,1,3.0,3,115,1,0,0,1,0
48,24,2.42,1,1.0,1,0,0,0,0,0,0
64,40,7.58,2,0.0,3,0,0,0,0,1,1
58,32,5.42,3,2.2,3,0,0,0,0,1,0
47,23,1.83,1,1.0,1,0,0,0,0,0,1
49,23,5.92,1,1.4,3,0,0,0,0,0,0
31,4,5.0,4,2.0,2,0,0,0,0,1,1
61,37,5.0,3,2.0,3,0,0,0,0,1,0
51,25,5.75,1,0.3,1,0,0,0,0,1,1
28,2,4.0,2,1.75,3,89,0,0,0,1,0
39,13,1.75,3,0.2,2,0,0,0,0,0,0
54,28,4.42,4,2.8,2,0,0,1,0,0,0
50,24,2.42,3,0.9,3,0,0,0,0,0,0
30,4,5.0,4,2.2,2,0,0,0,0,1,0
64,39,3.5,3,0.5,2,116,0,0,0,1,0
29,3,5.75,3,0.3,3,0,0,0,0,0,0
48,24,1.67,1,1.0,1,0,0,0,0,1,1
35,10,16.67,2,3.0,1,458,0,0,0,0,0
60,36,11.75,2,2.1,1,0,0,0,0,1,1
55,30,6.75,2,3.7,1,0,0,1,0,0,0
29,4,15.25,3,8.3,3,0,1,0,0,1,0
48,22,12.42,2,5.5,2,0,1,1,1,1,0
43,19,6.92,4,3.6,3,0,1,0,0,0,1
66,42,2.92,1,1.9,2,172,0,0,0,1,0
25,0,1.08,2,0.9,3,0,0,0,0,1,0
45,20,3.25,1,2.4,1,0,0,0,0,0,1
34,10,1.75,1,0.5,3,0,0,0,0,1,0
48,23,0.83,2,0.7,3,0,0,0,0,1,1
32,6,7.0,4,1.8,2,0,0,0,0,0,0
50,24,2.5,4,0.1,1,161,0,0,0,1,1
43,19,2.58,4,0.3,1,156,0,0,0,1,0
64,39,15.17,1,1.2,2,547,1,0,0,1,0
60,34,9.5,2,6.9,1,0,0,0,0,1,0
43,19,12.67,3,6.1,2,0,1,0,0,0,0
60,34,4.42,1,0.8,2,0,0,1,0,0,1
64,39,2.0,4,0.4,2,78,0,0,0,1,0
44,20,12.5,2,3.3,1,0,0,0,0,0,1
60,36,11.0,2,6.0,1,470,0,0,0,1,1
54,29,5.67,3,1.6,3,0,0,0,0,1,1
33,9,4.42,1,1.2,1,0,0,0,0,0,1
56,32,14.42,1,4.6,2,88,1,0,1,1,0
29,5,2.5,3,1.0,2,0,0,0,0,0,0
25,1,9.42,2,0.2,1,0,0,0,0,1,1
60,34,1.25,1,0.8,2,0,0,0,0,1,0
55,30,7.0,2,3.7,1,304,0,1,0,1,0
39,13,7.33,4,1.4,2,0,0,0,0,1,1
37,13,3.58,3,2.8,1,0,0,0,0,1,0
53,28,3.58,2,2.1,3,0,0,0,1,1,1
34,10,7.5,2,2.7,1,0,0,0,0,1,0
42,18,2.83,4,0.3,1,104,0,1,0,1,0
60,36,3.17,4,1.3,1,0,0,0,0,1,0
50,24,14.42,1,1.0,1,0,0,0,0,1,1
41,17,13.33,2,8.0,1,0,0,0,0,1,0
25,0,3.67,4,0.6,2,0,0,0,0,1,1
